description,revelation,fortune,image_path
Carina Nebula Pillars／船底座星雲之柱,你以為自己正在等待，其實你正在被塑形。,"這張星雲像高聳的宇宙之柱，看似靜止，內部卻正在孕育新的光。
它提醒你，最近有些事情還沒有明顯結果，不代表沒有進展。很多真正重要的改變，都是先在看不見的地方發生。

今天適合沉澱、整理、重新確認自己的方向。
不要急著向外界證明什麼，也不要因為暫時沒有回應，就懷疑自己的努力。你正在累積一種新的力量，只是它還沒有到顯現的時候。",image/star1.jpg
Bow Shock around LL Orionis／獵戶座弓形震波,當你穿越阻力，也正在看見自己的形狀。,"這張星雲像一艘船在宇宙中劃開氣流，前方的壓力形成一道弧形的光。
它象徵你最近可能正面對某種阻力，可能是外界的要求，也可能是內心的猶豫。

但阻力不一定是壞事。
有時候，正是因為遇到推擠，你才知道自己真正想往哪裡去。今天適合觀察：什麼事情讓你感到不舒服？什麼情境讓你想逃開？那些反應，可能正在指出你需要調整的方向。

不要害怕被考驗。
你不是被推回原點，而是在穿越一層新的邊界。",image/star2.jpg
Galaxy Cluster J0717.5+3745／星系團 J0717.5+3745,看似分散的事物，其實正在被某種力量牽引。,"這張圖裡有許多遙遠的星系，看起來各自閃爍，卻共同存在於一個龐大的引力場中。
它提醒你，最近你身邊的事情可能有點複雜，許多人、許多選擇、許多訊息同時出現，讓你一時難以判斷重點。

今天不適合只看表面。
如果你願意把視角拉遠一點，會發現某些看似無關的事件，其實正在指向同一個核心問題。

這張星雲給你的提醒是：不要急著解決所有細節，先找出真正牽動一切的中心。
當你看懂那個中心，混亂會慢慢變得有秩序。",image/star3.jpg
Asteroid 6478 Gault／小行星 6478 Gault,裂痕不是結束，有時是舊形體開始鬆動。,"這張圖呈現小行星拖曳出的尾跡，像某種原本堅硬的東西，正在慢慢剝落。
它象徵釋放、分離，也象徵舊有狀態的瓦解。

今天你可能會感覺某些事情不再像以前那樣穩固。
也許是一段關係、一個計畫，或是一種你習慣很久的想法。這不一定代表失敗，而是提醒你：有些舊的重量，已經不適合繼續背著。

如果今天出現疲憊、煩躁，或想要離開某種狀態的念頭，不要立刻否定它。
那可能是你的內在正在提醒你，該把不屬於自己的東西放下了。",image/star4.jpg
Monkey Head Nebula／猴頭星雲,混亂不是阻礙，而是靈感正在尋找出口。,"猴頭星雲帶著活潑、跳動、不可預測的能量。
它象徵今日的你可能會有許多想法，也容易同時被不同事情吸引。

今天不一定適合立刻做出最終決定，反而適合發想、探索、嘗試新的方向。
如果腦中出現一些看似零散的念頭，先不要急著判斷它們有沒有用。很多創意一開始都是混亂的，等時間沉澱後，才會慢慢長出清楚的輪廓。

這張星雲提醒你：不要過度壓抑自己的跳躍感。
你現在需要的不是立刻穩定，而是給靈感一點空間。",image/star5.jpg
Lagoon Nebula／礁湖星雲,你心中的潮水，正在替你沖出新的路。,"礁湖星雲帶有水氣、霧氣與流動的感覺，像情緒在深處慢慢翻湧。
它象徵直覺、感受，也象徵還沒有被語言說清楚的答案。

今天你可能會比平常更敏感，也更容易察覺人與人之間細微的變化。
這不是脆弱，而是你正在接收到某些訊息。

不要急著把情緒壓下去。
讓它流動，讓它安靜下來，你會慢慢知道自己真正介意的是什麼。
有些答案不是想出來的，而是在心變得安靜之後，自然浮現。",image/star6.jpg
Nebula Sharpless 2-106／星雲之翼,真正的展開，往往先從撕裂開始。,"這張星雲像一雙向外張開的翅膀，也像生命正從狹窄之處突破出來。
它象徵轉變、掙脫與重新展開。

今天你可能會感覺某件事已經到了臨界點，不能再用過去的方式處理。
也許你曾經習慣忍耐、配合、壓抑，但現在內在已經不願意繼續停留在同一個位置。

這張星雲不是要你衝動離開，而是提醒你：你已經擁有選擇的能力。
若某些關係、工作或想法讓你感到受限，今天適合重新看見自己的空間。",image/star7.jpg
Galaxy I Zwicky 18／I Zwicky 18 星系,不要輕看微小的開始，它可能藏著古老的力量。,"這張星系看似遙遠、微弱，卻帶著一種原始而年輕的氣息。
它象徵新的開始，也象徵尚未被完全開發的潛能。

今天你可能會遇到一件看起來不起眼的事，或產生一個還不成熟的想法。
它現在也許不夠完整、不夠漂亮，甚至看起來沒有太大價值，但它可能是未來某個重要方向的種子。

這張星雲提醒你，不要因為一件事剛開始很小，就否定它。
真正有生命力的東西，不一定一開始就耀眼。它可能只是安靜地存在，等待你願意給它時間。",image/star8.jpg
Antennae Galaxies／觸鬚星系,相遇不只是靠近，也可能是一場重組。,"觸鬚星系是兩個星系交會後形成的畫面，像兩股力量互相拉扯、碰撞，也彼此改變。
它象徵關係、合作、衝突與融合。

今天在人際互動上，可能會出現比較強烈的感受。
你可能因為某個人被觸動，也可能在某段關係裡看見自己過去沒有注意到的部分。

這張星雲提醒你：真正的相遇，不一定只是舒服。
有些人靠近你，是為了讓你看見自己需要調整的地方。
如果今天有摩擦，不要只看誰對誰錯，試著看見這段關係正在帶你重新理解什麼。",image/star9.jpg
Dwarf Galaxy Kiso 5639／矮星系 Kiso 5639,光會從邊緣開始，慢慢點亮整個自己。,"這張星系的一端有明亮的星光，像新的生命正在某個角落誕生。
它象徵局部的突破，也象徵小地方開始出現改變。

今天你不一定要全面翻轉自己。
只要先從一個小地方開始，就足夠了。可能是一個習慣、一個念頭、一個決定，或一次比較誠實的表達。

這張星雲提醒你，不要小看局部的進展。
有時候人生的改變，不是整片天空同時亮起，而是先有一個角落開始發光。
只要那道光是真的，它就會慢慢擴散。",image/star10.jpg
Bubble Nebula／泡泡星雲,請保護你的邊界，也保護你的柔軟。,"泡泡星雲像一層透明的宇宙薄膜，看似柔軟，卻清楚劃分出內外。
它象徵界線、保護與自我空間。

今天你需要留意，哪些事情是真正屬於你的責任，哪些只是別人投射到你身上的期待。
你可以溫柔，但不需要無限承接。你可以體貼別人，但不必因此犧牲自己的狀態。

這張星雲提醒你：界線不是冷漠，而是一種清醒。
當你願意保護自己的空間，你的光才不會一直被消耗。",image/star11.jpg
Little Ghost Nebula／小幽靈星雲,有些過去沒有離開，只是等你溫柔地告別。,"小幽靈星雲帶有朦朧、幽微、若隱若現的氣質。
它象徵記憶、未說出口的情緒，以及還沒有完全被安放的心事。

今天你可能會想起某個人、某件事，或某段曾經讓你在意的過去。
這不一定代表你要回頭，也不代表你還困在原地。也許只是那段記憶終於浮上來，讓你有機會重新看它一眼。

這張星雲提醒你，放下不是把一切抹掉。
有些事情需要被承認、被理解，然後才能真正離開。",image/star12.jpg
